[(27.782811633701964, -175.83476567743676), (-16336050.0, 3383250.0), (56167, 17049), 33.24154027718932, 0.0, 0.0]
[(-4.4519621419263515, -171.25068319200196), (-17131250.0, -550250.0), (95502, 9097), 39.20459156782532, 0.0, 0.0]
[(-13.596238618524717, -172.4374611818673), (-16981550.0, -1675050.0), (106750, 10594), 122.53978945632312, 291664.42347258376, 234806.40401296038]
[(-19.736412712367454, -175.07492032181852), (-16902250.0, -2421750.0), (114217, 11387), 52.32590180780452, 115025.96994943252, 4289.067218622193]
[(-29.272260253670733, -177.90648306194598), (-16384050.0, -3558550.0), (125585, 16569), 56.568542494923804, 0.0, 0.0]
[(25.770311236364858, -171.7367003314886), (-16131850.0, 3144950.0), (58550, 19091), 27.586228448267445, 0.0, 0.0]
[(22.057333737179807, -159.5159987119642), (-15253350.0, 2701350.0), (62986, 27876), 115.0173899895142, 893107.6849524095, 315198.2958312414]
[(1.832383377488014, -157.40064871585227), (-15770150.0, 226550.0), (87734, 22708), 93.98404119849285, 12525.522213900462, 7243.531459629536]
[(-4.013150652793299, -154.9283701723632), (-15503850.0, -496050.0), (94960, 25371), 58.60034129593445, 0.0, 0.0]
[(-10.440301874144843, -160.98464119877494), (-15968950.0, -1288150.0), (102881, 20720), 52.32590180780452, 315.1723512117751, 153.83368067070842]
[(-18.91117397721639, -159.744138633126), (-15470450.0, -2321950.0), (113219, 25705), 36.68787265568828, 15700.446241725702, 4083.5623587444425]
[(19.634618564714735, -155.6295659377979), (-15030850.0, 2409450.0), (65905, 30101), 209.06697491473875, 785481.8131373557, 255063.03608602722]
[(-14.424226859250894, -144.9349348695328), (-14241350.0, -1776250.0), (107762, 37996), 63.97655820689325, 8297.185039978474, 1664.095199111849]
[(-17.64489159074847, -149.49961446897328), (-14543850.0, -2168450.0), (111684, 34971), 60.30754513325841, 301991.3448803844, 247720.03387741465]
[(-44.05075437272842, -176.49606435072386), (-14402250.0, -5236950.0), (142369, 36387), 67.08203932499369, 634.5296001425013, 634.5296001425013]
[(51.83683798256647, -177.9895314787564), (-13205050.0, 6064450.0), (29355, 48359), 90.24965373894794, 0.0, 0.0]
[(-9.778007582772352, -139.10895771660597), (-13816550.0, -1206750.0), (102067, 42244), 70.40596565632774, 7649.833101028722, 2779.503745302558]
[(-15.812879598955282, -142.21504487172723), (-13917650.0, -1945650.0), (109456, 41233), 56.302753041036986, 4120.500938631027, 865.1470520235598]
[(-27.645563967075606, -144.32343271484245), (-13418950.0, -3367050.0), (123670, 46220), 37.69615364994153, 885.4732717052102, 356.83633682876825]
[(53.419753907149435, -168.12492941304882), (-12190950.0, 6226750.0), (27732, 58500), 88.52683209061533, 101.14403189625591, 0.0]
[(52.18128667137183, -174.48562993527656), (-12882250.0, 6099950.0), (29000, 51587), 112.76967677527502, 417.3791733898688, 0.0]
[(-21.524857736603888, -135.4908412672982), (-12985850.0, -2637350.0), (116373, 50551), 47.43416490252569, 2587.3031792491674, 17.182671070098877]
[(-24.353458903738716, -128.32762958336937), (-12141050.0, -2976250.0), (119762, 58999), 49.51767361255979, 71.62988330889493, 0.0]
[(55.68993410107524, -161.24343765427324), (-11286450.0, 6455650.0), (25443, 67545), 213.45959805077868, 10553.006544338252, 1383.4302134495847]
[(-24.37022018366304, -128.3371130379115), (-12140950.0, -2978250.0), (119782, 59000), 53.71219600798314, 0.0, 0.0]
[(65.05472689651216, -174.3527655524968), (-10141050.0, 7345650.0), (16543, 78999), 338.42281246984516, 5031.70119350626, 2234.611067391932]
[(60.26826716564341, -157.17707415167226), (-10141050.0, 6902350.0), (20976, 78999), 784.2148940182149, 51681.085777302345, 709.118894763046]
[(42.801327064826445, -123.69088234843103), (-10224850.0, 5100050.0), (38999, 78161), 179.88885457415086, 178600.30117216535, 176728.03712155813]
[(35.65904922845769, -116.69034374484467), (-10281550.0, 4298650.0), (47013, 77594), 469.2941508265365, 31724765.187962383, 102351.46270032413]
[(32.365358843738804, -113.38366611109606), (-10234750.0, 3919450.0), (50805, 78062), 426.20300327426133, 19157870.827902135, 185369.21828541692]
[(24.84827429301738, -111.39714176637443), (-10513450.0, 3035250.0), (59647, 75275), 130.20752666416791, 1851474.6381740682, 587140.094245703]
[(-27.078622803825738, -109.384237405652), (-10202750.0, -3300050.0), (123000, 78382), 51.0, 7836.298278328031, 7836.298278328031]
[(62.36867391368265, -156.20639590778475), (-9655850.0, 7100050.0), (18999, 83851), 1192.5019916125927, 21622.263313226784, 0.0]
[(53.33534367948119, -125.90577222605732), (-9141050.0, 6218150.0), (27818, 88999), 834.4177610765485, 699877.9426822979, 8983.770169152769]
[(52.18128667137183, -126.67299831645795), (-9352250.0, 6099950.0), (29000, 86887), 712.6745400251085, 18389875.764080852, 209.67720471005563]
[(37.31253801487584, -116.63825301296957), (-10140950.0, 4486850.0), (45131, 79000), 844.2185735933556, 9711010.28664877, 4734.006621866341]
[(33.333218886057814, -106.56290419620514), (-9553950.0, 4031450.0), (49685, 84870), 383.76034188018957, 27088651.375552893, 99832.01407019037]
[(25.391760018353192, -102.45902565444224), (-9643250.0, 3099950.0), (59000, 83977), 198.56736892047493, 90277398.08373722, 78445.6241222398]
[(16.97231452344774, -94.35266528386924), (-9199750.0, 2086750.0), (69132, 88412), 236.93459012984997, 4743476.5229767505, 644892.5080148368]
[(1.380213580653751, -91.81744315885042), (-9200550.0, 170650.0), (88293, 88404), 32.984845004941285, 0.0, 0.0]
[(-0.85366662771781, -91.2135772942447), (-9141050.0, -105550.0), (91055, 88999), 237.12443990445186, 8.73481772840023, 5.874705538153648]
[(-26.472269127897647, -105.36031483036733), (-9860050.0, -3228250.0), (122282, 81809), 24.758836806279895, 0.0, 0.0]
[(68.81605013061316, -156.31972119400976), (-8231350.0, 7674750.0), (13252, 98096), 1034.4486454145513, 161001.48338862607, 447.4532448835671]
[(62.36759835528873, -139.63755119183494), (-8631850.0, 7099950.0), (19000, 94091), 1159.9107724303624, 2775924.5309052975, 67.28675026632845]
[(52.18128667137183, -118.18456312226144), (-8725550.0, 6099950.0), (29000, 93154), 417.4218489729545, 5403046.663752284, 8957.088712778641]
[(41.35197700441427, -108.03905037783257), (-9059750.0, 4939950.0), (40600, 89812), 318.1980515339464, 16536037.830653157, 62846.15091737396]
[(26.981421994477046, -97.57508791771161), (-9106150.0, 3288550.0), (57114, 89348), 204.215572373901, 33735026.840454884, 423346.4201822539]
[(18.081712779596995, -89.87779253829635), (-8730350.0, 2221450.0), (67785, 93106), 348.919761549844, 9775237.942754295, 208661.66816611687]
[(11.397278288323779, -85.19184670465316), (-8433850.0, 1405650.0), (75943, 96071), 259.53805116013336, 56625849.63061944, 3303933.4465382514]
[(7.488872805576556, -81.79744960249126), (-8154750.0, 924950.0), (80750, 98862), 102.1077861869505, 744215.6785845193, 35403.291419998044]
[(-0.928885532153829, -91.21372857881492), (-9140950.0, -114850.0), (91148, 89000), 171.05846953600397, 41653.20114497561, 29492.215598636307]
[(62.36867391368265, -115.52350994446746), (-7141050.0, 7100050.0), (18999, 108999), 1616.6186934462933, 16930.69370217881, 0.0]
[(62.36759835528873, -118.31786552587467), (-7313950.0, 7099950.0), (19000, 107270), 1466.8674105044395, 791399.9633673548, 0.0]
[(42.801327064826445, -86.38589078512287), (-7141050.0, 5100050.0), (38999, 108999), 996.1375407040937, 15581750.283983503, 148457.68049481]
[(42.80041788714848, -87.08067083358091), (-7198550.0, 5099950.0), (39000, 108424), 574.222953215909, 59990853.81509946, 664059.4922341913]
[(25.39260074096161, -80.87373158392239), (-7611650.0, 3100050.0), (58999, 104293), 275.2180953353177, 38474377.10701925, 4768040.094269452]
[(24.495118334896315, -77.96744666195633), (-7371350.0, 2993150.0), (60068, 106696), 189.66285877841239, 15777053.466172682, 330232.34157840814]
[(9.354373695025437, -72.08127209745254), (-7164750.0, 1154650.0), (78453, 108762), 196.7587355112855, 13220616.790039895, 327245.8410122767]
[(0.8091825978687809, -73.60208642060242), (-7376150.0, 100050.0), (88999, 106648), 752.4493338424853, 46252943.03730822, 8192.607252825983]
[(0.8083737990871553, -73.43543831455528), (-7359450.0, 99950.0), (89000, 106815), 763.3564043092846, 27223781.685844913, 1726.853046676144]
[(-10.932081092170703, -72.06169685604921), (-7141050.0, -1348550.0), (103485, 108999), 721.3910174101144, 23620167.063688613, 13683.503494115546]
[(-16.16100982202477, -73.35909737697892), (-7171450.0, -1988050.0), (109880, 108695), 186.25251676151922, 62391.20034699049, 49397.72420880385]
[(-26.3137037800423, -80.08261907191185), (-7500850.0, -3209450.0), (122094, 105401), 26.076809620810597, 26.01190724223852, 26.01190724223852]
[(-33.74231205975044, -80.80461822100467), (-7223250.0, -4078650.0), (130786, 108177), 51.62363799656123, 33.61924934387207, 33.61924934387207]
[(65.77718861020048, -113.77609575971812), (-6501550.0, 7410250.0), (15897, 115394), 3059.531009811798, 29623.839419718286, 0.0]
[(52.18225833054856, -83.17955187599989), (-6141050.0, 6100050.0), (28999, 118999), 3526.769059635178, 71581.61380634224, 0.0]
[(52.18128667137183, -85.11393384166439), (-6283950.0, 6099950.0), (29000, 117570), 1183.953124072064, 20524366.791875012, 0.0]
[(42.311090891871224, -80.91892000438992), (-6722150.0, 5046050.0), (39539, 113188), 383.3131878764413, 83367702.80299644, 1147287.8543951574]
[(33.14624876882388, -79.3110517129994), (-7120150.0, 4009850.0), (49901, 109208), 66.48308055437865, 455180.88085310225, 415185.6459214571]
[(21.051246646922856, -73.4585984528395), (-7054550.0, 2580350.0), (64196, 109864), 145.2618325645109, 26676702.936269693, 603.3461656251457]
[(10.025289982579295, -62.68861612447643), (-6223450.0, 1237150.0), (77628, 118175), 266.5576860643865, 25262402.262591504, 1533356.2246776274]
[(0.8091825978687809, -61.27777943957762), (-6141050.0, 100050.0), (88999, 118999), 957.0256004935292, 5657062.046933403, 134.5516170343808]
[(-0.9830758728622745, -68.2746287140227), (-6842050.0, -121550.0), (91215, 111989), 812.473384179445, 1136481.5199274095, 1104.7216754061983]
[(-11.060776219697122, -72.08011155716257), (-7140950.0, -1364350.0), (103643, 109000), 973.4521046255949, 5276459.153052077, 90.98374773189425]
[(-23.714639090163697, -69.1825158318083), (-6565550.0, -2899950.0), (118999, 114754), 392.9592854228031, 15165726.196122196, 15170.83989816159]
[(-23.715475551983353, -69.03737690757482), (-6551750.0, -2900050.0), (119000, 114892), 536.674948176268, 4162431.2504122388, 2610.4501848760992]
[(-36.691580023942464, -70.31563357418568), (-6144750.0, -4416350.0), (134163, 118962), 215.45533179756774, 18122855.14588122, 18702.67635838827]
[(-42.235866555769654, -74.04417721442998), (-6155650.0, -5037750.0), (140377, 118853), 108.90362712049586, 114222.53960328549, 80332.32585896552]
[(62.36867391368265, -95.96990557677955), (-5932350.0, 7100050.0), (18999, 121086), 1994.216638181519, 8547.897626377577, 0.0]
[(52.18225833054856, -71.15444116113636), (-5253250.0, 6100050.0), (28999, 127877), 3798.803100977991, 20054.22763788925, 0.0]
[(52.18128667137183, -71.53541735501689), (-5281450.0, 6099950.0), (29000, 127595), 1825.8504867595266, 16088369.03544758, 0.0]
[(42.392697386510164, -72.3287044322296), (-6003650.0, 5055050.0), (39449, 120373), 60.03332407921454, 12292240.618974298, 7811907.219306699]
[(32.32310517384389, -64.80529528483197), (-5851450.0, 3914550.0), (50854, 121895), 19.697715603592208, 62806.0000082273, 62806.0000082273]
[(17.95227204773759, -62.89311966022091), (-6111950.0, 2205750.0), (67942, 119290), 39.21734310225516, 238173.06682434352, 186171.10149035952]
[(9.078833647681657, -61.75153581686785), (-6140950.0, 1120750.0), (78792, 119000), 372.2002149381432, 3119512.8440126227, 11494.806930141523]
[(0.8091825978687809, -57.48399633360594), (-5760850.0, 100050.0), (88999, 122801), 1224.9220383355016, 2750716.6083705802, 14.538219809532166]
[(-0.010109598861925364, -54.86628375899409), (-5498850.0, -1250.0), (90012, 125421), 982.4891856911199, 5461317.353876239, 385.8170632664114]
[(-7.286845548956396, -53.488898773639626), (-5334050.0, -900050.0), (99000, 127069), 861.6223070464227, 2475626.408445506, 559.884553944983]
[(-19.195446041603493, -61.391291438940286), (-5939150.0, -2356350.0), (113563, 121018), 775.1264412984503, 7601010.731231556, 911.1294379550964]
[(-30.507056902861816, -62.59254761994), (-5720150.0, -3703150.0), (127031, 123208), 365.60361048545457, 19264364.34776956, 219722.43807737972]
[(-36.43494213240962, -68.96636514530164), (-6039350.0, -4387150.0), (133871, 120016), 266.54267950930483, 25611795.50404279, 12163.456285618478]
[(-48.53543653790565, -73.25680378303683), (-5677450.0, -5719250.0), (147192, 123635), 402.1989557420556, 2118755.673816715, 5898.165919614956]
[(-52.949406043442515, -72.19541221785542), (-5271450.0, -6178750.0), (151787, 127695), 270.8228203087768, 392668.32039660914, 1959.5636666649953]
[(63.95433018418006, -69.38007247580468), (-4141050.0, 7246050.0), (17539, 138999), 1673.530698851981, 11792.106046305498, 0.0]
[(52.18225833054856, -69.63335540614742), (-5140950.0, 6100050.0), (28999, 129000), 2360.039194589785, 40149.0484314217, 0.0]
[(52.18128667137183, -62.62709786048516), (-4623750.0, 6099950.0), (29000, 134172), 1963.3125069636774, 1125922.0499658945, 0.0]
[(1.91165884830109, -51.31285618545923), (-5140950.0, 236350.0), (87636, 129000), 323.83946640272245, 88733.7295960947, 50613.99483907735]
[(-4.6835518908204845, -51.4011889540029), (-5140950.0, -578850.0), (95788, 129000), 356.2611401766968, 19498382.097255684, 48203.54290108383]
[(-7.460473256856347, -51.565004639125334), (-5140950.0, -921450.0), (99214, 129000), 587.4393585724403, 5827680.471389418, 12705.102070095483]
[(-18.14438505336349, -52.937112155210855), (-5140950.0, -2229050.0), (112290, 129000), 148.60686390607938, 78479855.75101782, 127955.37281691417]
[(-26.901149685862595, -54.019246210328106), (-5043550.0, -3279050.0), (122790, 129974), 128.37834708392222, 33017162.471573267, 1483194.0925686047]
[(-32.674296480534316, -52.84626498769642), (-4760050.0, -3955250.0), (129552, 132809), 191.2066944434739, 4982412.214535219, 103963.35710074546]
[(-48.090353150211776, -65.97074648795848), (-5140950.0, -5672050.0), (146720, 129000), 55.0, 16.7267654677853, 16.7267654677853]
[(-54.731183160083376, -66.46090865571128), (-4723650.0, -6359550.0), (153595, 133173), 220.32702966272657, 191537.27285257023, 6373.575097271241]
[(69.87041104593413, -73.6091439728609), (-3755750.0, 7763650.0), (12363, 142852), 1735.5852039009783, 15736.603167560883, 0.0]
[(62.36759835528873, -66.98820271527296), (-4140950.0, 7099950.0), (19000, 139000), 480.09374084651427, 2333.9617491809913, 0.0]
[(52.18128667137183, -56.00511610455303), (-4134850.0, 6099950.0), (29000, 139061), 166.35203635663737, 134730.95177612486, 1072.781702792272]
[(-4.98563463625873, -41.136166843148224), (-4113150.0, -616150.0), (96161, 139278), 79.40403012442127, 17307743.004746128, 502560.48440553306]
[(-10.475302641554775, -41.74825275812564), (-4140950.0, -1292450.0), (102924, 139000), 174.9771413642365, 30194374.283607915, 98291.05486513313]
[(-16.05753182778645, -40.911779643682685), (-4000750.0, -1975450.0), (109754, 140402), 75.39230729988306, 23975479.331091225, 458810.5600359375]
[(70.37626916453198, -42.630347504182716), (-2141050.0, 7805750.0), (11942, 158999), 3624.1679044989073, 46575.00829593082, 0.0]
[(62.36759835528873, -45.15085262764887), (-2791050.0, 7099950.0), (19000, 152499), 1410.0797849767225, 8065.055578747517, 0.0]
[(38.48219594052742, -28.422593628738962), (-2446750.0, 4619050.0), (43809, 155942), 57.3149195236284, 217933.99851196876, 36810.238453450394]
[(17.08174015553171, -25.34610874945095), (-2470450.0, 2100050.0), (68999, 155705), 27.51363298439521, 52580.95411889581, 52580.95411889581]
[(16.83330500754068, -22.92145807545729), (-2235950.0, 2069850.0), (69301, 158050), 53.85164807134504, 586259.0458031376, 65586.6149157947]
[(-20.51683792094426, -29.31837712287103), (-2821750.0, -2515950.0), (115159, 152192), 43.139309220245984, 0.0, 0.0]
[(74.04865437581643, -48.54898715282167), (-2140950.0, 8099950.0), (9000, 159000), 6142.990232777519, 339432.3081986918, 0.0]
[(25.39260074096161, -13.301960581016157), (-1251950.0, 3100050.0), (58999, 167890), 978.4359968848244, 2795601.984311468, 275.9072209224105]
[(24.881848133775605, -13.130787373394446), (-1239050.0, 3039250.0), (59607, 168019), 798.7095842670226, 2913163.189822563, 255.77677244553342]
[(12.899200239094109, -13.174849698721673), (-1299750.0, 1589750.0), (74102, 167412), 105.11898020814318, 39270376.02226201, 1236683.199561927]
[(7.6738930436457125, -12.664547843678946), (-1262250.0, 947750.0), (80522, 167787), 45.221676218380054, 6303436.472812342, 4341100.810802891]
[(-7.948234377486003, -14.316816938936242), (-1426350.0, -981550.0), (99815, 166146), 46.400431032480725, 978.5509084053338, 978.5509084053338]
[(74.04735950020232, -23.358867605673606), (-1030150.0, 8099850.0), (9001, 170108), 477.0010482168776, 52185.879316146165, 0.0]
[(58.35849083248589, -6.359142044067833), (-425250.0, 6718550.0), (22814, 176157), 69.63476143421474, 24207226.11289889, 42472.25974215321]
