[(-4.5102617697250595, -172.1698246687505), (-17222350.0, -557450.0), (95574, 8186), 57.982756057296896, 2053.9654897805303, 0.0]
[(-13.596238618524717, -172.4374611818673), (-16981550.0, -1675050.0), (106750, 10594), 122.53978945632312, 330926.7368123692, 234806.40401296038]
[(-19.736412712367454, -175.07492032181852), (-16902250.0, -2421750.0), (114217, 11387), 52.32590180780452, 102116.77772507793, 4289.067218622193]
[(23.861887854306005, -166.23935170610847), (-15765350.0, 2917550.0), (60824, 22756), 35.84689665786984, 0.0, 0.0]
[(1.832383377488014, -157.40064871585227), (-15770150.0, 226550.0), (87734, 22708), 93.98404119849285, 12525.522213900462, 7243.531459629536]
[(-10.440301874144843, -160.98464119877494), (-15968950.0, -1288150.0), (102881, 20720), 52.32590180780452, 153.83368067070842, 153.83368067070842]
[(-14.25968327488097, -169.46104685674567), (-16658850.0, -1756150.0), (107561, 13821), 47.853944456021594, 1695.845198573079, 966.8527625030838]
[(-19.054113170329146, -169.83789579601074), (-16439250.0, -2339250.0), (113392, 16017), 47.4236228055175, 1948.0000029214284, 1948.0000029214284]
[(-29.27140829707175, -177.90664737399047), (-16384150.0, -3558450.0), (125584, 16568), 56.568542494923804, 0.0, 0.0]
[(22.046510290808126, -159.51366622928944), (-15253850.0, 2700050.0), (62999, 27871), 120.93386622447825, 38672.6772059919, 38672.6772059919]
[(19.634618564714735, -155.6295659377979), (-15030850.0, 2409450.0), (65905, 30101), 209.06697491473875, 1639916.8208837751, 255063.03608602722]
[(-4.013150652793299, -154.9283701723632), (-15503850.0, -496050.0), (94960, 25371), 58.60034129593445, 161.33867054106668, 0.0]
[(-16.261222504016114, -151.80334350833797), (-14835350.0, -2000250.0), (110002, 32056), 39.824615503479755, 37949.36157606915, 37931.318498600274]
[(-21.922479399029704, -157.90871816154154), (-15108550.0, -2685150.0), (116851, 29324), 37.013511046643494, 16208.835217282642, 671.6404696926475]
[(-9.778007582772352, -139.10895771660597), (-13816550.0, -1206750.0), (102067, 42244), 70.40596565632774, 7276.371871844865, 2779.503745302558]
