[(28.390205044489797, -178.3126328460097), (-16508150.0, 3454850.0), (55451, 15328), 29.966648127543394, 0.0, 0.0]
[(-4.508642311524035, -172.16658882057388), (-17222050.0, -557250.0), (95572, 8189), 57.982756057296896, 7.965494930744171, 0.0]
[(-8.567793571112851, -172.48623055967317), (-17167750.0, -1057850.0), (100578, 8732), 46.95742752749558, 2050.3429919239134, 1306.4819224774837]
[(-13.596238618524717, -172.4374611818673), (-16981550.0, -1675050.0), (106750, 10594), 122.53978945632312, 412291.7395718403, 234806.40401296038]
[(-21.416789925536072, -174.9271589704924), (-16773250.0, -2624350.0), (116243, 12677), 42.190046219457976, 7494.075202170759, 7494.075202170759]
[(27.925211923600592, -175.73047925895006), (-16313050.0, 3400050.0), (55999, 17279), 24.166091947189145, 0.0, 0.0]
[(23.861887854306005, -166.23935170610847), (-15765350.0, 2917550.0), (60824, 22756), 35.84689665786984, 0.0, 0.0]
[(3.9321992859878647, -159.34058115782443), (-15946350.0, 486050.0), (85139, 20946), 42.95346318982906, 5281.990754270926, 5281.990754270926]
[(1.832383377488014, -157.40064871585227), (-15770150.0, 226550.0), (87734, 22708), 93.98404119849285, 7243.531459629536, 7243.531459629536]
[(-5.640199152408789, -155.87731767862766), (-15575750.0, -696950.0), (96969, 24652), 55.0, 880.9132931460626, 0.0]
[(-19.04998132263435, -169.85284139085985), (-16440950.0, -2338750.0), (113387, 16000), 51.264022471905186, 4847.762450149126, 600.9485972689763]
[(-29.268852443400775, -177.90822631311448), (-16384550.0, -3558150.0), (125581, 16564), 56.568542494923804, 0.0, 0.0]
[(-30.23586010515067, -178.4245703136183), (-16333850.0, -3671450.0), (126714, 17071), 25.553864678361276, 0.0, 0.0]
[(19.55684124327735, -155.56025384459394), (-15028650.0, 2400050.0), (65999, 30123), 267.01685340067957, 1614193.366649266, 190666.90464552763]
[(19.55601390190735, -155.50490034497918), (-15023350.0, 2399950.0), (66000, 30176), 165.19382555047267, 64396.131440499594, 64396.131440499594]
[(-9.979732590849766, -150.21675754181112), (-14914150.0, -1231550.0), (102315, 31268), 39.0, 0.0, 0.0]
[(-17.68608371239289, -149.49817025262843), (-14541650.0, -2173450.0), (111734, 34993), 60.30754513325841, 300947.83696524426, 247720.03387741465]
[(-21.922479399029704, -157.90871816154154), (-15108550.0, -2685150.0), (116851, 29324), 37.013511046643494, 9099.220946479123, 671.6404696926475]
[(-43.76149724245649, -176.4326666681735), (-14441050.0, -5205350.0), (142053, 35999), 58.69412236331676, 55.38790176063776, 55.38790176063776]
[(-9.778007582772352, -139.10895771660597), (-13816550.0, -1206750.0), (102067, 42244), 70.40596565632774, 7276.371871844865, 2779.503745302558]
[(-14.424226859250894, -144.9349348695328), (-14241350.0, -1776250.0), (107762, 37996), 63.97655820689325, 13145.49320757068, 1664.095199111849]
[(-21.71612974006288, -140.59750607282916), (-13464250.0, -2660350.0), (116603, 45767), 44.94441010848846, 2541.1869060676545, 7.487002372741699]
[(-44.05075437272842, -176.49606435072386), (-14402250.0, -5236950.0), (142369, 36387), 67.08203932499369, 579.1416983818635, 579.1416983818635]
