[(27.782811633701964, -175.83476567743676), (-16336050.0, 3383250.0), (56167, 17049), 33.24154027718932, 0.0, 0.0]
[(26.069269452977046, -173.96904008408066), (-16315850.0, 3180450.0), (58195, 17251), 26.076809620810597, 0.0, 0.0]
[(-4.508642311524035, -172.16658882057388), (-17222050.0, -557250.0), (95572, 8189), 57.982756057296896, 7.965494930744171, 0.0]
[(-13.596238618524717, -172.4374611818673), (-16981550.0, -1675050.0), (106750, 10594), 122.53978945632312, 292380.74097544, 234806.40401296038]
[(-19.736412712367454, -175.07492032181852), (-16902250.0, -2421750.0), (114217, 11387), 52.32590180780452, 116623.89355223706, 4289.067218622193]
[(-29.269704391936884, -177.90806191979362), (-16384450.0, -3558250.0), (125582, 16565), 56.568542494923804, 0.0, 0.0]
[(-31.33783711171979, -178.8229556922839), (-16254050.0, -3800050.0), (128000, 17869), 23.0, 0.0, 0.0]
[(22.057333737179807, -159.5159987119642), (-15253350.0, 2701350.0), (62986, 27876), 115.0173899895142, 53261.96215663313, 53261.96215663313]
[(1.832383377488014, -157.40064871585227), (-15770150.0, 226550.0), (87734, 22708), 93.98404119849285, 12525.522213900462, 7243.531459629536]
[(-4.013150652793299, -154.9283701723632), (-15503850.0, -496050.0), (94960, 25371), 58.60034129593445, 0.0, 0.0]
[(-10.440301874144843, -160.98464119877494), (-15968950.0, -1288150.0), (102881, 20720), 52.32590180780452, 315.1723512117751, 153.83368067070842]
[(-18.91117397721639, -159.744138633126), (-15470450.0, -2321950.0), (113219, 25705), 36.68787265568828, 15179.495971891563, 4083.5623587444425]
[(19.634618564714735, -155.6295659377979), (-15030850.0, 2409450.0), (65905, 30101), 209.06697491473875, 1625327.5359331337, 255063.03608602722]
[(-14.425864341271774, -144.93254014599958), (-14241050.0, -1776450.0), (107764, 37999), 66.70832032063167, 3070.6746059656143, 1237.0102034807205]
[(-17.68608371239289, -149.49817025262843), (-14541650.0, -2173450.0), (111734, 34993), 60.30754513325841, 303521.7082683332, 247720.03387741465]
[(-44.05075437272842, -176.49606435072386), (-14402250.0, -5236950.0), (142369, 36387), 67.08203932499369, 634.5296001425013, 634.5296001425013]
[(51.79033919286843, -178.80156968088113), (-13273950.0, 6059650.0), (29403, 47670), 63.694583757176716, 0.0, 0.0]
[(-9.778007582772352, -139.10895771660597), (-13816550.0, -1206750.0), (102067, 42244), 70.40596565632774, 7583.452919000905, 2779.503745302558]
[(-15.812879598955282, -142.21504487172723), (-13917650.0, -1945650.0), (109456, 41233), 56.302753041036986, 6045.073699652581, 865.1470520235598]
[(-23.370189262302095, -149.42076335642807), (-14203350.0, -2858750.0), (118587, 38376), 38.58756276314948, 2890.536240523681, 2005.0629688184708]
[(53.157889371417674, -168.43683111050143), (-12261050.0, 6200050.0), (27999, 57799), 101.6070863670443, 0.0, 0.0]
[(53.156909709826834, -168.6954077961782), (-12280050.0, 6199950.0), (28000, 57609), 104.69479452198185, 518.5232052861247, 23.045476152561605]
[(-21.524857736603888, -135.4908412672982), (-12985850.0, -2637350.0), (116373, 50551), 47.43416490252569, 371.02443915605545, 17.182671070098877]
[(-23.161344539948985, -137.1294191806175), (-13047650.0, -2833750.0), (118337, 49933), 40.607881008493905, 2641.7503914879635, 0.0]
[(55.68993410107524, -161.24343765427324), (-11286450.0, 6455650.0), (25443, 67545), 213.45959805077868, 10482.049154737262, 1312.4728238485952]
[(-24.352620861884578, -128.3313306866095), (-12141450.0, -2976150.0), (119761, 58995), 47.01063709417264, 0.0, 0.0]
[(63.451352274073066, -170.78989438392048), (-10310550.0, 7200050.0), (17999, 77304), 224.65974272218867, 1688.7658685296774, 1272.6196926310658]
[(61.5615806305647, -162.89452016653803), (-10241050.0, 7024650.0), (19753, 77999), 674.50129725598, 48430.57635992924, 9760.829602332655]
[(35.8875736234356, -116.43925624598748), (-10241050.0, 4324750.0), (46752, 77999), 523.0420633180471, 18349090.32143478, 16142.010528716506]
[(32.375707817212664, -113.46154662908803), (-10241050.0, 3920650.0), (50793, 77999), 401.9203901271992, 28498793.823822048, 172970.0812271341]
[(24.84827429301738, -111.39714176637443), (-10513450.0, 3035250.0), (59647, 75275), 130.20752666416791, 1322750.8367531158, 591401.6765339636]
[(63.451352274073066, -153.0740798014197), (-9241050.0, 7200050.0), (17999, 87999), 1189.153059954857, 19561.474449473255, 0.0]
[(63.45026232041739, -160.033924621175), (-9661450.0, 7199950.0), (18000, 83795), 1280.3191008494719, 667584.1034946726, 0.0]
[(53.156909709826834, -127.50532219098433), (-9281650.0, 6199950.0), (28000, 87593), 758.0461727361995, 16127731.437549634, 2352.126940032938]
[(37.36723872683389, -116.27016420398995), (-10104350.0, 4493050.0), (45069, 79366), 665.0090224951839, 11234878.575649578, 10790.695784960568]
[(32.35242325567514, -113.4422485946246), (-10240950.0, 3917950.0), (50820, 78000), 440.50085130451225, 17956501.617505316, 30237.8772328387]
[(25.96396963092874, -102.85847912237116), (-9652050.0, 3167950.0), (58320, 83889), 231.60310878742538, 95329560.61221616, 2083423.0302433148]
[(17.90446233337494, -97.1123593396533), (-9438950.0, 2199950.0), (68000, 86020), 103.23759005323593, 7429058.159302432, 974227.3505538908]
[(-27.078622803825738, -109.384237405652), (-10202750.0, -3300050.0), (123000, 78382), 51.0, 7836.298278328031, 7836.298278328031]
[(68.80781936528915, -156.46651098165242), (-8241050.0, 7674050.0), (13259, 97999), 1016.9532929294246, 157150.68717584573, 0.0]
[(57.360624450056406, -127.44297031475308), (-8674050.0, 6621050.0), (23789, 93669), 1038.084774958192, 777856.8695802509, 504.2925691095443]
[(53.156909709826834, -125.59308235765891), (-9142450.0, 6199950.0), (28000, 88985), 693.1962204167013, 6383966.282412571, 880.6860461674806]
[(43.71211943961508, -112.84234973817738), (-9240950.0, 5199950.0), (38000, 88000), 322.60502165961395, 13707546.6499682, 198125.26073813907]
[(26.981421994477046, -97.57508791771161), (-9106150.0, 3288550.0), (57114, 89348), 204.215572373901, 34426291.912458315, 826033.1792293949]
[(17.905286597104585, -89.81191882970198), (-8729350.0, 2200050.0), (67999, 93116), 404.4762044916858, 11333191.862490337, 135213.49133931275]
[(11.397278288323779, -85.19184670465316), (-8433850.0, 1405650.0), (75943, 96071), 259.53805116013336, 58701587.55083066, 3303933.4465382514]
[(9.258453649299836, -82.89539428734903), (-8241050.0, 1142850.0), (78571, 97999), 199.92248497855363, 599343.2218265841, 393649.9618160054]
[(-0.8552842324563666, -91.27846097563557), (-9147550.0, -105750.0), (91057, 88934), 196.66468925559565, 41661.93596270401, 28971.137678562663]
[(63.451352274073066, -126.9070182811052), (-7661350.0, 7200050.0), (17999, 103796), 1769.0746168548121, 16849.275211898737, 0.0]
[(57.36673468140636, -106.39996783744135), (-7241050.0, 6621650.0), (23783, 107999), 1449.1794229839174, 2194205.00778633, 0.0]
[(52.38453366943433, -98.36244472221732), (-7241050.0, 6120850.0), (28791, 107999), 725.0689622373861, 11113737.046721721, 4669.88061826746]
[(42.244021792398215, -87.10713273924645), (-7241050.0, 5038650.0), (39613, 107999), 480.1353975703104, 50580759.817208864, 8842947.470274545]
[(26.234452008086876, -80.58975917645944), (-7551550.0, 3200050.0), (57999, 104894), 275.230812228573, 40345855.49417288, 2435683.5952675585]
[(26.233609014439775, -80.68864525760083), (-7560850.0, 3199950.0), (58000, 104801), 223.0022421411946, 18688587.189254574, 4713055.243189949]
[(13.551271557338286, -83.67211130856487), (-8240950.0, 1669550.0), (73304, 98000), 133.13526955694348, 6714719.682203003, 157499.16977451928]
[(1.8542244419818898, -73.33288955050092), (-7347250.0, 229250.0), (87707, 106937), 323.20891076825217, 46824151.68947359, 195764.35874469206]
[(0.8932980200781775, -73.58411758150869), (-7374250.0, 110450.0), (88895, 106667), 706.3200407747184, 26607137.91936557, 9841.091389034875]
[(-7.3087504158065695, -74.19558264311122), (-7398750.0, -902750.0), (99027, 106422), 526.8415321517467, 25747492.934975237, 58358.39672559267]
[(-14.619119666161838, -75.44333997022194), (-7409050.0, -1800050.0), (108000, 106319), 170.51979357247652, 136083.74819274293, 68929.93330364302]
[(-26.3145469944573, -80.08191312036664), (-7500750.0, -3209550.0), (122095, 105402), 26.076809620810597, 26.01190724223852, 26.01190724223852]
[(63.451352274073066, -103.38035025723815), (-6241050.0, 7200050.0), (17999, 117999), 5133.640618508467, 6287.576059273308, 0.0]
[(54.62991242254986, -87.67168766817701), (-6241050.0, 6349350.0), (26506, 117999), 2235.3856490547664, 103057.8836404969, 0.0]
[(53.156909709826834, -85.7355201995381), (-6241050.0, 6199950.0), (28000, 117999), 2137.963750862021, 8851827.923731476, 0.0]
[(42.55602937114575, -87.37785508524335), (-7240950.0, 5073050.0), (39269, 108000), 642.8911260859027, 88648565.54078084, 718423.9386199997]
[(26.590403554005615, -77.3686400206921), (-7235850.0, 3242250.0), (57577, 108051), 110.47624178980746, 3959981.518669081, 18628.128160093445]
[(21.051246646922856, -73.4585984528395), (-7054550.0, 2580350.0), (64196, 109864), 145.2618325645109, 28435218.057052583, 5884.387174037984]
[(10.126989445338225, -64.12138990503087), (-6364450.0, 1249650.0), (77503, 116765), 217.52471123989568, 23119318.951797053, 2610615.5293744775]
[(4.615529542376138, -62.87358785519018), (-6288750.0, 570450.0), (84295, 117522), 719.8506789605744, 11821335.465550564, 885.6422958366456]
[(-0.9830758728622745, -68.2746287140227), (-6842050.0, -121550.0), (91215, 111989), 812.473384179445, 1065423.8037659093, 1104.7216754061983]
[(-10.936153394213397, -71.94020339468074), (-7128950.0, -1349050.0), (103490, 109120), 826.0750571225353, 4743724.3679640535, 2817.146421507001]
[(-20.167037019603914, -67.50307747528224), (-6505950.0, -2473750.0), (114737, 115350), 364.2444234302016, 12896566.352312319, 99506.41109234095]
